license_number,public_name,vendor_id,name_source,is_public_dispensary,city,state
C10-0001496-LIC,The Window,bb285085-35d5-4592-9034-06d917e81847,name_column,yes,San Francisco,CA
C10-0001497-LIC,Lower Lake Cc Limited Liability Company,f5f8b59a-ba4a-48b6-b269-21564d228aa3,name_column,yes,Lower Lake,CA
C10-0001498-LIC,Embarc San Bruno,52512dfa-85c0-40cb-b9ff-f9cdcd285a68,name_column,yes,San Bruno,CA
C10-0001499-LIC,BUZZ CANNABIS,2aa8627a-759d-4333-af9c-11c2c8f5581a,name_column,yes,San Diego,CA
C10-0001500-LIC,Weeed,146a026c-9def-42b5-9fa7-1c0ba9476ac1,name_column,yes,Kagel Canyon,CA
C10-0001501-LIC,OFF THE CHARTS SAN YSIDRO,90e004e3-796b-4286-9baf-eed28c4fbcef,name_column,yes,San Ysidro,CA
C10-0001503-LIC,Fig & Thistle Apothecary,5b67143d-deff-4400-8b77-aba87ee3a218,name_column,yes,San Francisco,CA
C10-0001504-LIC,Otc Antioch LLC,32cabcea-8152-4c9b-bd28-e45236f0d306,name_column,yes,Antioch,CA
C10-0001505-LIC,A Green Alternative,811cefb6-920a-46c2-805b-270f76a700ee,name_column,yes,San Diego,CA
C10-0001506-LIC,"CULTURE CC INDIO, INC",5b7913d7-c8ab-42c5-b40d-6b3f0e05239d,name_column,yes,Indio,CA
C10-0001507-LIC,STIIIZY Artesia,8c50704a-84fe-4060-880b-b162131d95fb,name_column,yes,Artesia,CA
C10-0001509-LIC,Eagle Eye Napa,742d6f49-55e1-4ae8-bd11-9b492a31d8d6,name_column,yes,Napa,CA
C10-0001510-LIC,HIGH SEAS,896adf74-7b7c-4e76-bcd0-fe805e4775ce,name_column,yes,Costa Mesa,CA
C10-0001511-LIC,Green Mart,7de94cde-c983-4577-a45b-3499912a145a,name_column,yes,Santa Ana,CA
C10-0001512-LIC,Shryne Hawthorne LLC,228baff7-fefd-411e-a60a-341f44056712,name_column,yes,Hawthorne,CA
C10-0001513-LIC,Shryne Lynwood LLC,4a6c08fd-4bcc-4f12-a5d5-a4679245efa7,legal_entity_from_description,yes,Lynwood,CA
C10-0001514-LIC,Authentic Tracy LLC,29fe9ec1-dc37-45da-bbb1-9aadb3114529,legal_entity_from_description,yes,Tracy,CA
C10-0001515-LIC,STIIIZY Ventura,06bf0646-7f14-44f9-8bc0-9a9d1e5f020d,name_column,yes,Ventura,CA
C10-0001517-LIC,Valley Pure,476968a1-5c2d-49fd-8ca3-607591ce1776,name_column,yes,Farmersville,CA
C10-0001518-LIC,Catalyst - Kearny Mesa,c4293a69-8a08-46ec-875c-c215727c885d,name_column,yes,San Diego,CA
C10-0001519-LIC,Tree House,cd784a47-6681-4e1a-8393-b1b2a7e79e5f,name_column,yes,Los Angeles,CA
C10-0001520-LIC,Al'S DEPOT & EMPROIUM,f0441522-bb97-4ffe-844d-15217ad78b5a,name_column,yes,Dunsmuir,CA
C10-0001521-LIC,Toasty,46b85e9d-6c4a-44d7-b1c1-b4054ee6dfcf,name_column,yes,Sacramento,CA
C10-0001522-LIC,ELECTRIC AVE. HOLDINGS,7931a673-6df7-4ad9-b84d-67a11866502e,name_column,yes,Jurupa Valley,CA
C10-0001523-LIC,Cavi Land,df9fad5c-072d-4ac2-add9-8997e9ac7552,name_column,yes,Needles,CA
