vendor_id,license_number,name_field,legal_entity_from_description,is_public_dispensary,is_live,offers_storefront,offers_delivery,license_status,flags,city,state,slug
4ca936bf-639f-4347-8a97-1880904c82b9,C9-0000026-LIC,DUBE,"Hassell Girls, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Francisco,CA,ca-uls-c9-0000026-lic
39f42679-8392-497b-a236-c01a448d6ae7,C9-0000032-LIC,Yesca Oaks Delivery,West Coast Medical Finest Inc,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000032-lic
05fa4ad5-8252-4fd0-a26d-178f47c885b1,C9-0000034-LIC,Caliva Culver City,"Caliva Cadecc1, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000034-lic
a1986d3f-071d-4021-babe-8eb8f14f0905,C9-0000040-LIC,BlazD Deliveries,"Jwc Deliveries, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000040-lic
0320e8b6-8167-4f02-bfe2-190932314c89,C9-0000041-LIC,"BUDGET KING, LLC","Budget King, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000041-lic
e9a12496-5e59-4ec0-b46d-8bdd4411ccac,C9-0000045-LIC,BLEU DIAMOND LLC,Bleu Diamond LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Luis Obispo,CA,ca-uls-c9-0000045-lic
ad6f7c90-061f-4fc6-babe-6280c2cd34eb,C9-0000046-LIC,"GOLDEN STATE CANNABIS, INC.","Golden State Cannabis, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000046-lic
4139e167-9cb2-4ff0-a6ab-2996838f600e,C9-0000048-LIC,"Kc Dbw Nsfd, LLC","Kc Dbw Nsfd, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Monterey,CA,ca-uls-c9-0000048-lic
b79432fb-e31b-4f4a-adc7-0f55493a536d,C9-0000059-LIC,The Sensi Society,"Bay Care Delivery, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Francisco,CA,ca-uls-c9-0000059-lic
bcb9e530-02bf-4c31-b0b8-106cb4ab5353,C9-0000061-LIC,"WINTER GREENS, LLC","Winter Greens, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Nevada City,CA,ca-uls-c9-0000061-lic
c919a168-eb9e-44e6-a547-a8d31dcc95f9,C9-0000074-LIC,CAM,California Artisanal Medicine,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000074-lic
af030438-a880-4146-8207-7847f0125d64,C9-0000076-LIC,"MBM Sacramento, LLC","Mbm Sacramento, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000076-lic
e4df9b1f-40ae-495a-be5a-efccfcb6066e,C9-0000077-LIC,The Loaded Bowl,The Loaded Bowl LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Redwood City,CA,ca-uls-c9-0000077-lic
6d25cd4f-1b99-4fb6-8370-b773094a274a,C9-0000094-LIC,Hey High,"Urban Buds, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000094-lic
392d03a1-f780-44bd-a2c1-5778ef9c733e,C9-0000100-LIC,Ona.Life,Buttercup & Spring,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Rafael,CA,ca-uls-c9-0000100-lic
33f7f0a5-117e-412a-b6e0-b9b4af59bce1,C9-0000104-LIC,Ohana Gardens,Ohana Gardens,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000104-lic
4ea6a406-7159-4a55-a954-5abcc57d0729,C9-0000105-LIC,The Joy Reserve,Elefante Inc,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Francisco,CA,ca-uls-c9-0000105-lic
0be78d9f-edf3-40a2-9f8b-911cfa0c42e0,C9-0000122-LIC,Trees Of Knowledge,Trees Of Knowledge T,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000122-lic
5738ec6e-6c7c-4f6b-a2fd-4873a749ff13,C9-0000139-LIC,HIGH LYFE DISTRIBUTION INCORPORATED,High Lyfe Distribution Incorporated,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000139-lic
17a8a392-fbe2-4348-9a3e-b7ab36bf4b50,C9-0000144-LIC,SBMS,Santa Barbara Manufacturing And Supply Company LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Santa Barbara,CA,ca-uls-c9-0000144-lic
87e5de4f-aedc-4bb2-8d32-2b5bcde8a472,C9-0000155-LIC,ONE UP MONTEBELLO LLC,One Up Montebello LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000155-lic
fa15202a-9682-4410-af19-034a67e2b1b3,C9-0000174-LIC,Smoakland,Hah 7 Ca LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000174-lic
2981632a-12f7-4016-8d9e-252932300e6e,C9-0000195-LIC,Pog Marketing LLC,Pog Marketing LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000195-lic
ffeca63b-386b-4e44-b6e8-12b5c4da992d,C9-0000204-LIC,"Dreamy Delivery, Alpaca Club","Wholesome Delivery, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000204-lic
a86fb17f-96c5-4596-b9bb-e502018a20fd,C9-0000212-LIC,"Aralo Enterprises, LLC","Aralo Enterprises, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000212-lic
